,title,author,publisher,page_count,generes,language
1,The Little Prince ,Antoine de Saint-Exupéry,Reynal & Hitchcock,96,"Fantacy, Academy, Children, Novel",English
2,21 Lessons For The 21st Century,Yuval Noah Harari,Jonathan Cape,372,"Academic, Self-help, History, Romance",English
3,The Alchemist,James Milner,Alchemist,208,"Self-help, Novel",English
4,The Godfather ,Mario Puzo,Mario Puzo,448,"Criminal-detective, Novel, Romance",English
5,Journey To The East ,Baird T. Spalding,Harvard University Press,214,"Novel, Religious-supernatural",English
6,Les Misérables,Victor Hugo,"A. Lacroix, Verboeckhoven & Cie.","1,463","Novel, Romance, Reality",English
7,How the Steel Was Tempered,Nikolai Alekseyevich Ostrovsky,,376,"Academic, Self-help, Novel, Reality",English
8,Give me a ticket to childhood,Nguyen Nhat Anh,The Overlook Press,160,"Children, Novel, Reality",Vietnamese
9,Ha Do,Nguyen Nhat Anh,Nguyen Nhat Anh,,"Children, Novel, Romance, Reality",Vietnamese
10,Think And Grow Rich,Napoleon Hill,The Ralston Society,320,"Academic, Self-help",English
